PlaceName,PlaceNameModern,Latitude,Longitude,NameOfTraveler,YearOfTravel,Description,Citation,Hyperlink,Country,Region,Continent
Brunswick,"Braunschweig, Germany",52.2689,10.5268,Lady Mary Wortley Montagu,1716,"I AM just come to Brunswick, a very old town, but which has the advantage of being the capital of the duke of Wolsenbuttle's dominions, a family (not to speak of its ancient honours) illustrious, by having its younger branch on the throne of England, and having given two empresses to Germany.   ","Lady Mary Wortley Montagu, Letters of the Right Honourable Lady M——Y W——Y M——E; Written During Her Travels in Europe, Asia, and Africa, New (London: Printed for Thomas Martin, 1890), Let. XVI.",https://www.gutenberg.org/cache/epub/17520/pg17520.html,Germany,Central Europe; Eastern Europe,Europe
Hanover,"
Hanover, Germany",52.3759,9.732,Lady Mary Wortley Montagu,1716,"THIS town is neither large nor handsome; but the palace is capable of holding a much greater court than that of St James's.  The king has had the goodness to appoint us a lodging in one part of it, without which we should have been very ill accommodated; for the vast number of English, crowds the town so much, 'tis very good luck to get one sorry room in a miserable tavern. ","Lady Mary Wortley Montagu, Letters of the Right Honourable Lady M——Y W——Y M——E; Written During Her Travels in Europe, Asia, and Africa, New (London: Printed for Thomas Martin, 1890), Let. XVII.",https://www.gutenberg.org/cache/epub/17520/pg17520.html,Germany,Central Europe; Eastern Europe,Europe
Hanover,"
Hanover, Germany",52.3759,9.732,Lady Mary Wortley Montagu,1716,"You will not forgive me, if I do not say something of Hanover; I cannot tell you that the town is either large or magnificent.  The opera house, which was built by the late elector, is much finer than that of Vienna.  I was very sorry that the ill weather did not permit me to see Hernhausen in all its beauty; but in spite of the snow, I thought the gardens very fine.  I was particularly surprised at the vast number of orange trees, much larger than any I have ever seen in England, though this climate is certainly colder.  But I had more reason to wonder that night at the king's table, to see a present from a gentleman of this country, of two large baskets full of ripe oranges and lemons of different sorts, many of which were quite new to me; and what I thought worth all the rest, two ripe ananasses (sic), which, to my taste, are a fruit perfectly delicious.  You know they are naturally the growth of Brazil, and I could not imagine how they came here, but by enchantment.  Upon inquiry, I learnt that they have brought their stoves to such perfection, they lengthen their summer as long as they please, giving to every plant the degree of heat it would receive from the sun in its native soil.  The effect is very near the same; I am surprised we do not practise (sic) in England so useful an invention.  This reflection leads me to consider our obstinacy in shaking with cold, five months in the year rather than make use of stoves, which are certainly one of the greatest conveniencies (sic) of life.  Besides, they are so far from spoiling the form of a room, that they add very much to the magnificence of it, when they are painted and gilt, as they are at Vienna, or at Dresden, where they are often in the shapes of china jars, statues, or fine cabinets, so naturally represented, that they are not to be distinguished.     ","Lady Mary Wortley Montagu, Letters of the Right Honourable Lady M——Y W——Y M——E; Written During Her Travels in Europe, Asia, and Africa, New (London: Printed for Thomas Martin, 1890), Let. XIX.",https://www.gutenberg.org/cache/epub/17520/pg17520.html,Germany,Central Europe; Eastern Europe,Europe
Raab,"Győr, Hungary",47.6842,17.6344,Lady Mary Wortley Montagu,1717,"Raab is a strong town, well garrisoned and fortified, and was a long time the frontier town between the Turkish and German empires.  It has its name from the River Rab, on which it is situated, just on its meeting with the Danube, in an open champaign (sic) country.  It was first taken by the Turks, under the command of bassa Sinan, in the reign of sultan Amurath III. in the year fifteen hundred and ninety-four.  The governor, being supposed to have betrayed it, was afterwards beheaded by the emperor's command.  The counts of Swartzenburg; and Palsi retook it by surprise, 1598; since which time it has remained in the hands of the Germans, though the Turks once more attempted to gain it by stratagem in 1642.  The cathedral is large and well built, which is all I saw remarkable in the town.    ","Lady Mary Wortley Montagu, Letters of the Right Honourable Lady M——Y W——Y M——E; Written During Her Travels in Europe, Asia, and Africa, New (London: Printed for Thomas Martin, 1890), Let. XXIII.",https://www.gutenberg.org/cache/epub/17520/pg17520.html,Hungary,Central Europe; Eastern Europe,Europe
Buda,"Budapest, Hungary",47.4979,19.0402,Lady Mary Wortley Montagu,1717,"We continued two days travelling between this place and Buda, through the finest plains in the world, as even as if they were paved, and extremely fruitful; but for the most part desert and uncultivated, laid waste by the long wars between the Turk and the Emperor; and the more cruel civil war, occasioned by the barbarous persecution of the protestant religion by the emperor Leopold.  That prince has left behind him the character of an extraordinary piety, and was naturally of a mild merciful temper; but, putting his conscience into the hands of a Jesuit, he was more cruel and treacherous to his poor Hungarian subjects, than ever the Turk has been to the Christians; breaking, without scruple his coronation oath, and his faith, solemnly given in many public treaties.  Indeed, nothing can be more melancholy than in travelling through Hungary, to reflect on the former flourishing state of that kingdom, and to see such a noble spot of earth almost uninhabited. Such are also the present circumstances of Buda (where we arrived very early the twenty-second) once the royal seat of the Hungarian kings, whose palace was reckoned one of the most beautiful buildings of the age, now wholly destroyed, no part of the town having been repaired since the last siege, but the fortifications and the castle, which is the present residence of the governor general Ragule, an officer of great merit.  He came immediately to see us, and carried us in his coach to his house, where I was received by his lady with all possible civility, and magnificently entertained.  This city is situated upon a little hill on the south side of the Danube.  The castle is much higher than the town, and from it the prospect is very noble.  Without the walls ly (sic) a vast number of little houses, or rather huts, that they call the Rascian town, being altogether inhabited by that people.  The governor assured me, it would furnish twelve thousand fighting men.  These towns look very odd; their houses stand in rows, many thousands of them so close together, that they appear, at a little distance, like old-fashioned thatched tents. They consist, every one of them, of one hovel above, and another under ground; these are their summer and winter apartments.  Buda was first taken by Solyman the Magnificent, in 1526, and lost the following year to Ferdinand I, king of Bohemia.  Solyman regained it by the treachery of the garrison, and voluntarily gave it into the hands of king John of Hungary; after whose death, his son being an infant, Ferdinand laid siege to it, and the queen mother was forced to call Solyman to her aid.  He indeed raised the siege, but left a Turkish garrison in the town, and commanded her to remove her court from thence, which she was forced to submit to, in 1541.  It resisted afterwards the sieges laid to it by the marquis of Brandenburg, in the year 1542; count Schwartzenburg, in 1598; General Rosworm, in 1602; and the duke of Lorrain, commander of the emperor's forces, in 1684, to whom it yielded, in 1686, after an obstinate defence, Apti Bassa, the governor, being killed, fighting in the breach with a Roman bravery.  The loss of this town was so important, and so much resented by the Turks, that it occasioned the deposing of their emperor Mahomet IV. the year following.   ","Lady Mary Wortley Montagu, Letters of the Right Honourable Lady M——Y W——Y M——E; Written During Her Travels in Europe, Asia, and Africa, New (London: Printed for Thomas Martin, 1890), Let. XXIII.",https://www.gutenberg.org/cache/epub/17520/pg17520.html,Hungary,Central Europe; Eastern Europe,Europe
Mohatch,"Mohács, Hungary",46.0046,18.6794,Lady Mary Wortley Montagu,1717,"We came the five and twentieth, to Mohatch, and were shewed the field near it, where Lewis, the young king of Hungary lost his army and his life, being drowned in a ditch, trying to fly from Balybeus, general of Solyman the Magnificent.  This battle opened the first passage for the Turks into the heart of Hungary.--I don't name to you the little villages, of which I can say nothing remarkable; but I'll assure you, I have always found a warm stove, and great plenty, particularly of wild boar, venison, and all kinds of _gibier_.  The few people that inhabit Hungary, live easily enough; they have no money, but the woods and plains afford them provision in great abundance; they were ordered to give us all things necessary, even what horses we pleased to demand, _gratis_; but Mr W----y would not oppress the poor country people, by making use of this order, and always paid them to the full worth of what we had. They were so surprised at this unexpected generosity, which they are very little used to, that they always pressed upon us, at parting, a dozen of fat pheasants, or something of that sort, for a present.  ","Lady Mary Wortley Montagu, Letters of the Right Honourable Lady M——Y W——Y M——E; Written During Her Travels in Europe, Asia, and Africa, New (London: Printed for Thomas Martin, 1890), Let. XXIII.",https://www.gutenberg.org/cache/epub/17520/pg17520.html,Hungary,Central Europe; Eastern Europe,Europe
Essek,"Osijek, Croatia",45.555,18.6955,Lady Mary Wortley Montagu,1717,"We met on the other side general Veterani, who invited us, with great civility, to pass the night at a little castle of his, a few miles off, assuring us we should have a very hard day's journey to reach Essek.  This we found but too true, the woods being very dangerous, and scarce passable, from the vast quantity of wolves that hoard in them.  We came, however, safe, though late to Essek, where we stayed a day, to dispatch a courier with letters to the bassa of Belgrade; and I took that opportunity of seeing the town, which is not very large, but fair built, and well fortified.  This was a town of great trade, very rich and populous, when in the hands of the Turks.  It is situated on the Drave, which runs into the Danube.  The bridge was esteemed one of the most extraordinary in the world, being eight thousand paces long, and all built of oak.  It was burnt, and the city laid in ashes by count Lesly, 1685, but was again repaired and fortified by the Turks, who, however, abandoned it in 1687.  General Dunnewalt then took possession of it for the emperor, in whose hands it has remained ever since, and is esteemed one of the bulwarks of Hungary.    ","Lady Mary Wortley Montagu, Letters of the Right Honourable Lady M——Y W——Y M——E; Written During Her Travels in Europe, Asia, and Africa, New (London: Printed for Thomas Martin, 1890), Let. XXIII.",https://www.gutenberg.org/cache/epub/17520/pg17520.html,Croatia,Southeast,Europe
Belgrade,"Belgrade, Serbia",44.8125,20.4612,Lady Mary Wortley Montagu,1717,"We came late to Belgrade, the deep snows making the ascent to it very difficult.  It seems a strong city, fortified on the east side by the Danube; and on the south by the river Save, and was formerly the barrier of Hungary.  It was first taken by Solyman the Magnificent, and since by the emperor's forces, led by the elector of Bavaria.  The emperor held it only two Years, it being retaken by the grand vizier.  It is now fortified with the utmost care and skill the Turks are capable of, and strengthened by a very numerous garrison of their bravest janizaries, commanded by a bassa seraskier (i.e. general) though this last expression is not very just; for, to say truth, the seraskier is commanded by the janizaries.  These troops have an absolute authority here, and their conduct carries much more the aspect of rebellion, than the appearance of subordination. ","Lady Mary Wortley Montagu, Letters of the Right Honourable Lady M——Y W——Y M——E; Written During Her Travels in Europe, Asia, and Africa, New (London: Printed for Thomas Martin, 1890), Let. XIV.",https://www.gutenberg.org/cache/epub/17520/pg17520.html,Serbia,Southeast,Europe
Deserts of Servia,"Deliblatska Peščara, Serbia",44.8939,21.1142,Lady Mary Wortley Montagu,1717,"We crossed the deserts of Servia (sic), almost quite over-grown with wood, through a country naturally fertile.  The inhabitants are industrious; but the oppression of the peasants is so great, they are forced to abandon their houses, and neglect their tillage, all they have being a prey to the janizaries, whenever they please to seize upon it.    ","Lady Mary Wortley Montagu, Letters of the Right Honourable Lady M——Y W——Y M——E; Written During Her Travels in Europe, Asia, and Africa, New (London: Printed for Thomas Martin, 1890), Let. XXV.",https://www.gutenberg.org/cache/epub/17520/pg17520.html,Serbia,Southeast,Europe
Nissa,"Niš, Serbia",43.3209,21.8954,Lady Mary Wortley Montagu,1717,"After seven days travelling through thick woods, we came to Nissa, once the capital of Servia, situated in a fine plain on the river Nissava, in a very good air, and so fruitful a soil, that the great plenty is hardly credible.  I was certainly assured, that the quantity of wine last vintage was so prodigious, that they were forced to dig holes in the earth to put it in, not having vessels enough in the town to hold it.  The happiness of this plenty is scarce perceived by the oppressed people.  I saw here a new occasion for my compassion.  ","Lady Mary Wortley Montagu, Letters of the Right Honourable Lady M——Y W——Y M——E; Written During Her Travels in Europe, Asia, and Africa, New (London: Printed for Thomas Martin, 1890), Let. XXV.",https://www.gutenberg.org/cache/epub/17520/pg17520.html,Serbia,Southeast,Europe
Sophia,"Sophia, Bulgaria",42.6977,23.3219,Lady Mary Wortley Montagu,1717,"After four days journey from this place over the mountains, we came to Sophia, situated in a large beautiful plain on the river Isca, and surrounded with distant mountains. 'Tis hardly possible to see a more agreeable landscape. The city itself is very large, and extremely populous. Here are hot baths, very famous for their medicinal virtues.","Lady Mary Wortley Montagu, Letters of the Right Honourable Lady M——Y W——Y M——E; Written During Her Travels in Europe, Asia, and Africa, New (London: Printed for Thomas Martin, 1890), Let. XXV.",https://www.gutenberg.org/cache/epub/17520/pg17520.html,Bulgaria,Eastern Europe,Europe
Philippopolis,"Plovdiv, Bulgaria",42.1354,24.7453,Lady Mary Wortley Montagu,1717,"After four days journey from this place over the mountains, we came to Sophia, situated in a large beautiful plain on the river Isca, and surrounded with distant mountains. 'Tis hardly possible to see a more agreeable landscape. The city itself is very large, and extremely populous. Here are hot baths, very famous for their medicinal virtues.","Lady Mary Wortley Montagu, Letters of the Right Honourable Lady M——Y W——Y M——E; Written During Her Travels in Europe, Asia, and Africa, New (London: Printed for Thomas Martin, 1890), Let. XXV.",https://www.gutenberg.org/cache/epub/17520/pg17520.html,Bulgaria,Eastern Europe,Europe
Sophia,"Sophia, Bulgaria",42.6977,23.3219,Lady Mary Wortley Montagu,1717,"IN one of these covered waggons, I went to the bagnio about ten o'clock. It was already full of women. It is built of stone, in the shape of a dome, with no windows but in the roof, which gives light enough. There were five of these domes joined together, the outmost being less than the rest, and serving only as a hall, where the portress stood at the door. Ladies of quality generally give this woman a crown or ten shillings; and I did not forget that ceremony. The next room is a very large one paved with marble, and all round it are two raised sofas of marble, one above another. There were four fountains of cold water in this room, falling first into marble basons, and then running on the floor in little channels made for that purpose, which carried the streams into the next room, something less than this, with the same sort of marble sofas, but so hot with steams of sulphur proceeding from the baths joining to it, 'twas impossible to stay there with one's cloathson. The two other domes were the hot baths, one of which had cocks of cold water turning into it, to temper it to what degree of warmth the bathers pleased to have.","Lady Mary Wortley Montagu, Letters of the Right Honourable Lady M——Y W——Y M——E; Written During Her Travels in Europe, Asia, and Africa, New (London: Printed for Thomas Martin, 1890), Let. XXV.",https://www.gutenberg.org/cache/epub/17520/pg17520.html,Bulgaria,Eastern Europe,Europe
Adrianople,"Edirne, Turkey",41.6771,26.5557,Lady Mary Wortley Montagu,1717,"I AM at this present moment writing in a house situated on the banks of the Hebrus, which runs under my chamber window. My garden is full of all cypress trees, upon the branches of which several couple of true turtles are saying soft things to one another from morning till night. ... The summer is already far advanced in this part of the world; and, for some miles round Adrianople, the whole ground is laid out in gardens, and the banks of the rivers are set with rows of fruit-trees, under which all the most considerable Turks divert themselves every evening, not with walking, that is not one of their pleasures; but a set party of them chuse out a green spot, where the shade is very thick, and, there they spread a carpet, on which they sit drinking their coffee, and are generally attended by some slave with a fine voice, or that plays on some instrument.","Lady Mary Wortley Montagu, Letters of the Right Honourable Lady M——Y W——Y M——E; Written During Her Travels in Europe, Asia, and Africa, New (London: Printed for Thomas Martin, 1890), Let. XXX.",https://www.gutenberg.org/cache/epub/17520/pg17520.html,Turkey,Eastern Europe,Europe
Adrianople ,"Edirne, Turkey",41.6771,26.5557,Lady Mary Wortley Montagu,1718,"The town is said to be eight miles in compass, I suppose they reckon in the gardens. There are some good houses in it, I mean large ones; for the architecture of their palaces never makes any great shew. It is now very full of people; but they are most of them such as follow the court, or camp; and when they are removed, I am told, 'tis no populous city. The river Maritza (anciently the Hebrus) on which it is situated, is dried up every summer, which contributes very much to make it unwholesome. It is now a very pleasant stream. There are two noble bridges built over it. ... But the pavement is kept much neater; and the shops are all so clean, they seem just new painted. ... This copious subject has drawn me from my description of the exchange, founded by Ali Bassa, whose name it bears. Near it is the sherski, a street of a mile in length, full of shops of all kind of fine merchandise, but excessive dear, nothing being made here. It is covered on the top with boards, to keep out the rain, that merchants may meet conveniently in all weathers.","Lady Mary Wortley Montagu, Letters of the Right Honourable Lady M——Y W——Y M——E; Written During Her Travels in Europe, Asia, and Africa, New (London: Printed for Thomas Martin, 1890), Let. XXXIV.",https://www.gutenberg.org/cache/epub/17520/pg17520.html,Turkey,Eastern Europe,Europe
Constantinople,"Istanbul, Turkey",41.0082,28.9784,Lady Mary Wortley Montagu,1718,"WE arrived the next day at Constantinople; but I can yet tell you very little of it, all my time having been taken up with receiving visits, which are, at least, a very good entertainment to the eyes, the young women being all beauties, and their beauty highly improved by the high taste of their dress. Our palace is in Pera, which is no more a suburb of Constantinople, than Westminster is a suburb to London. All the ambassadors are lodged very near each other. One part of our house shews us the port, the city, and the seraglio, and the distant hills of Asia; perhaps, all together, the most beautiful prospect in the world.","Lady Mary Wortley Montagu, Letters of the Right Honourable Lady M——Y W——Y M——E; Written During Her Travels in Europe, Asia, and Africa, New (London: Printed for Thomas Martin, 1890), Let. XXXV.",https://www.gutenberg.org/cache/epub/17520/pg17520.html,Turkey,Eastern Europe,Europe
Belgrade Village ,"Belgrade Forest, Turkey",41.19431,28.95138,Lady Mary Wortley Montagu,1718,"The heats of Constantinople have driven me to this place, which perfectly answers the description of the Elysian fields. I am in the middle of a wood, consisting chiefly of fruit-trees, watered by a vast number of fountains, famous for the excellency of their water, and divided into many shady walks, upon short grass, that seems to me artificial, but, I am assured, is the pure work of nature—within view of the Black sea, from whence we perpetually enjoy the refreshment of cool breezes, that make us insensible of the heat of the summer. The village is only inhabited by the richest amongst the Christians, who meet every night at a fountain, forty paces from my house, to sing and dance.","Lady Mary Wortley Montagu, Letters of the Right Honourable Lady M——Y W——Y M——E; Written During Her Travels in Europe, Asia, and Africa, New (London: Printed for Thomas Martin, 1890), Let. XXXVI.",https://www.gutenberg.org/cache/epub/17520/pg17520.html,Turkey,Eastern Europe,Europe
